TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,FTA,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,3PA_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Milwaukee Bucks,2014,0,0.5,97.8,37.6,21.1,31.4,0.6,51.1,49.1,25,23,26,24,12,17,14,3
Boston Celtics,2014,0,0.488,101.4,38.9,20.5,32.7,0.3,49.8,49.5,1,13,13,28,15,12,10,9
Phoenix Suns,2014,0,0.476,102.4,38.8,21.5,32.2,-1.1,49.1,48.9,7,10,10,21,11,13,26,8
Brooklyn Nets,2014,0,0.463,98.0,37.4,22.2,32.0,-3.0,48.0,49.1,17,24,20,18,19,24,21,19
Indiana Pacers,2014,0,0.463,97.3,36.6,22.2,34.4,0.2,50.5,51.1,15,17,18,17,13,23,17,10
Utah Jazz,2014,0,0.463,95.1,35.4,23.5,31.9,0.1,50.7,52.4,29,18,17,13,26,4,18,20
Miami Heat,2014,0,0.451,94.7,35.2,23.7,30.0,-3.0,49.2,48.9,30,20,19,11,22,29,23,17
Charlotte Hornets,2014,0,0.402,94.2,35.5,22.8,34.1,-3.4,48.2,50.2,10,27,24,14,20,25,7,29
Detroit Pistons,2014,0,0.39,98.5,37.1,22.4,32.1,-1.1,47.8,50.5,8,9,11,26,29,2,15,24
Denver Nuggets,2014,0,0.366,101.5,37.8,24.3,32.4,-3.3,46.5,49.4,2,14,12,8,24,3,2,1
Sacramento Kings,2014,0,0.354,101.3,36.7,29.3,33.3,-3.7,48.5,51.9,28,28,28,1,10,14,1,15
Orlando Magic,2014,0,0.305,95.7,37.5,19.1,31.8,-5.9,45.5,49.1,21,21,22,30,25,26,8,13
Los Angeles Lakers,2014,0,0.256,98.5,37.2,23.6,32.3,-7.1,45.0,49.7,9,25,25,12,23,8,16,11
Philadelphia 76ers,2014,0,0.22,92.0,33.7,23.8,30.9,-9.0,42.6,48.0,22,11,6,22,30,5,4,5
New York Knicks,2014,0,0.207,91.9,35.1,19.2,29.8,-10.1,44.1,48.4,26,22,21,29,8,18,25,6
Minnesota Timberwolves,2014,0,0.195,97.8,36.4,25.7,29.3,-9.1,45.3,48.9,16,30,30,2,6,9,5,21
Golden State Warriors,2015,0,0.89,114.9,42.5,21.8,36.2,10.6,56.7,50.7,3,1,1,22,16,20,27,11
San Antonio Spurs,2015,0,0.817,103.5,40.1,20.4,34.5,11.1,57.8,51.6,24,25,25,25,2,25,29,30
Cleveland Cavaliers,2015,1,0.695,104.3,38.7,21.7,33.9,6.3,52.8,51.9,19,2,3,26,21,12,23,17
Toronto Raptors,2015,0,0.683,102.7,36.7,26.7,33.2,4.4,52.5,52.0,28,13,19,2,12,19,11,22
Oklahoma City Thunder,2015,0,0.671,110.2,41.1,25.2,35.6,7.4,54.6,54.1,5,17,17,4,10,1,20,15
LA Clippers,2015,0,0.646,104.5,38.3,26.2,33.3,4.5,53.3,47.2,25,8,9,11,29,29,30,7
Atlanta Hawks,2015,0,0.585,102.8,38.6,20.0,33.8,3.9,52.8,47.4,15,6,7,29,8,30,17,24
Boston Celtics,2015,0,0.585,105.7,39.2,23.5,33.3,3.3,52.0,49.5,1,12,11,8,6,3,7,2
Charlotte Hornets,2015,0,0.585,103.4,37.0,23.7,35.0,2.7,51.1,49.9,16,4,4,7,5,28,8,28
Miami Heat,2015,0,0.585,100.0,38.4,23.0,34.3,1.7,52.5,51.2,27,27,28,18,23,22,28,27
Indiana Pacers,2015,0,0.549,102.2,38.3,22.8,33.9,1.6,51.8,49.4,13,18,20,14,15,17,21,20
Detroit Pistons,2015,0,0.537,102.0,37.9,25.5,33.9,0.3,48.6,52.1,6,10,10,19,30,2,22,25
Portland Trail Blazers,2015,0,0.537,105.1,38.6,23.0,33.9,0.8,49.3,51.0,8,5,6,15,19,4,13,4
Chicago Bulls,2015,0,0.512,101.6,38.6,21.0,35.2,-1.4,49.4,50.6,2,21,24,23,7,9,2,26
Dallas Mavericks,2015,0,0.512,102.3,37.4,22.3,33.9,-0.4,50.3,48.4,18,7,5,12,3,26,24,23
Memphis Grizzlies,2015,0,0.512,99.1,36.8,24.7,30.5,-2.4,48.3,49.5,22,28,26,5,9,8,3,5
Houston Rockets,2015,0,0.5,106.5,37.7,29.4,31.7,0.0,49.0,49.2,23,3,2,3,27,7,18,3
Washington Wizards,2015,0,0.5,104.1,39.5,22.5,32.8,-0.5,49.7,49.0,10,14,14,24,25,27,25,10
Utah Jazz,2015,0,0.488,97.7,36.1,23.0,32.5,1.8,50.8,51.7,30,16,15,20,24,10,19,19
Orlando Magic,2015,0,0.427,102.1,39.5,20.1,33.0,-1.6,48.8,49.5,4,22,22,30,17,18,9,12
Denver Nuggets,2015,0,0.402,101.9,37.7,24.1,33.1,-3.3,47.9,51.3,12,19,18,9,14,5,1,8
Milwaukee Bucks,2015,0,0.402,99.0,38.4,22.7,31.2,-4.5,48.3,49.0,26,30,30,21,22,14,5,13
Sacramento Kings,2015,0,0.402,106.6,40.0,25.5,33.7,-2.3,49.4,50.0,7,20,21,10,26,13,12,16
New York Knicks,2015,0,0.39,98.4,36.9,21.4,34.0,-2.8,48.7,50.2,20,24,23,17,1,16,26,21
New Orleans Pelicans,2015,0,0.366,102.7,38.5,22.2,33.1,-3.7,47.2,49.3,9,15,16,16,13,23,14,9
Minnesota Timberwolves,2015,0,0.354,102.4,37.7,27.0,31.5,-3.5,49.7,49.4,29,29,29,1,4,21,15,14
Phoenix Suns,2015,0,0.28,100.9,37.2,23.2,33.3,-6.5,45.0,50.8,11,11,12,13,20,6,10,1
Brooklyn Nets,2015,0,0.256,98.6,38.2,20.7,31.9,-7.4,46.0,49.4,17,26,27,27,18,15,16,29
Los Angeles Lakers,2015,0,0.207,97.3,35.1,24.7,32.3,-9.7,42.4,48.4,14,23,13,6,11,11,6,18
Philadelphia 76ers,2015,0,0.122,97.4,36.2,22.6,31.8,-10.2,42.8,46.6,21,9,8,28,28,24,4,6
Golden State Warriors,2016,1,0.817,115.9,43.1,22.6,35.0,11.4,57.9,50.4,8,3,5,17,9,19,27,19
San Antonio Spurs,2016,0,0.744,105.3,39.3,22.0,33.9,7.4,55.1,51.1,24,16,25,18,7,16,25,24
Houston Rockets,2016,0,0.671,115.3,40.3,26.5,33.5,5.7,51.6,49.9,7,1,1,2,20,9,12,16
Boston Celtics,2016,0,0.646,108.0,38.6,23.2,32.9,2.6,51.4,48.5,18,4,3,9,3,22,8,10
Cleveland Cavaliers,2016,0,0.622,110.3,39.9,23.3,34.4,3.1,51.0,49.9,19,2,2,19,23,21,23,27
LA Clippers,2016,0,0.622,108.7,39.5,26.0,34.0,4.4,52.7,50.1,26,9,11,6,26,23,30,17
Toronto Raptors,2016,0,0.622,106.9,39.2,24.7,32.6,4.3,51.6,50.5,21,21,22,3,8,11,18,8
Utah Jazz,2016,0,0.622,100.7,37.0,22.9,33.8,4.3,53.4,51.4,30,13,17,22,24,20,28,23
Washington Wizards,2016,0,0.598,109.2,41.3,22.1,32.6,1.7,51.1,50.1,10,17,20,20,12,13,19,4
Oklahoma City Thunder,2016,0,0.573,106.6,39.5,25.8,34.4,0.8,49.9,52.8,5,26,18,8,27,1,2,7
Atlanta Hawks,2016,0,0.524,103.2,38.1,24.9,34.1,-0.7,50.6,50.2,22,19,15,13,28,14,9,25
Memphis Grizzlies,2016,0,0.524,100.5,36.4,23.4,32.0,0.5,50.1,50.7,25,14,14,12,13,10,13,2
Indiana Pacers,2016,0,0.512,105.1,39.3,22.1,33.0,-0.2,50.5,48.8,20,23,27,16,2,24,14,18
Milwaukee Bucks,2016,0,0.512,103.6,38.8,22.4,31.6,-0.2,50.4,48.7,29,22,24,21,19,25,20,14
Chicago Bulls,2016,0,0.5,102.9,38.6,22.5,34.1,0.3,50.4,51.9,9,28,29,15,6,2,21,29
Miami Heat,2016,0,0.5,103.2,39.0,21.6,33.0,1.0,50.0,49.9,14,12,12,28,30,12,16,11
Portland Trail Blazers,2016,0,0.5,107.9,39.5,23.7,33.5,-0.6,49.3,49.6,13,8,10,11,14,15,6,5
Denver Nuggets,2016,0,0.488,111.7,41.2,24.2,34.6,0.4,50.3,53.2,4,7,8,10,17,5,17,21
Detroit Pistons,2016,0,0.451,101.3,39.9,19.3,34.6,-1.4,48.2,51.9,1,27,26,30,29,8,26,28
Charlotte Hornets,2016,0,0.439,104.9,37.7,23.8,34.8,0.0,50.5,49.6,15,11,9,4,1,26,3,30
New Orleans Pelicans,2016,0,0.415,104.3,39.1,22.3,35.1,-2.1,49.3,48.0,11,15,13,25,22,29,24,26
Dallas Mavericks,2016,0,0.402,97.9,36.2,18.5,30.7,-3.0,47.9,46.5,27,5,6,29,4,30,29,22
Sacramento Kings,2016,0,0.39,102.8,37.9,23.3,32.3,-4.2,47.8,49.2,28,18,23,14,16,28,10,12
Minnesota Timberwolves,2016,0,0.378,105.6,39.5,24.2,31.0,-0.9,50.1,50.7,23,30,30,7,5,6,15,15
New York Knicks,2016,0,0.378,104.3,39.6,21.1,33.2,-3.6,48.2,50.0,2,24,21,26,10,3,22,13
Orlando Magic,2016,0,0.354,101.1,38.3,21.4,33.3,-6.5,46.0,49.1,12,25,16,27,25,17,11,20
Philadelphia 76ers,2016,0,0.341,102.4,37.7,22.0,33.0,-5.5,47.0,49.0,16,10,7,23,18,18,4,3
Los Angeles Lakers,2016,0,0.317,104.6,39.3,22.6,32.1,-6.7,44.6,49.4,6,20,19,24,21,7,5,9
Phoenix Suns,2016,0,0.293,107.7,39.9,26.3,33.1,-5.2,46.2,50.3,3,29,28,1,15,4,7,1
Brooklyn Nets,2016,0,0.244,105.8,37.8,24.6,35.1,-6.5,46.0,48.3,17,6,4,5,11,27,1,6
Houston Rockets,2017,0,0.793,112.4,38.7,25.1,34.5,8.4,53.1,50.3,27,1,1,2,9,23,25,18
Toronto Raptors,2017,0,0.72,111.7,41.3,21.8,34.2,7.7,53.8,50.2,6,4,3,9,4,14,11,4
Golden State Warriors,2017,1,0.707,113.5,42.8,20.3,35.1,5.9,55.4,49.7,24,8,16,16,1,28,30,15
Boston Celtics,2017,0,0.671,104.0,38.3,20.7,35.1,3.6,51.9,50.4,25,6,10,21,17,20,26,14
Philadelphia 76ers,2017,0,0.634,109.8,40.8,22.8,36.5,4.6,54.2,52.0,12,10,12,11,23,3,8,2
Cleveland Cavaliers,2017,0,0.61,110.9,40.4,23.3,33.7,1.0,50.2,49.2,26,3,5,6,10,27,28,26
Portland Trail Blazers,2017,0,0.598,105.6,39.3,20.9,35.3,2.7,51.0,51.3,8,16,19,15,3,9,9,19
Indiana Pacers,2017,0,0.585,105.6,40.8,19.2,32.7,1.3,50.9,49.6,14,25,26,24,11,16,6,24
New Orleans Pelicans,2017,0,0.585,111.7,42.7,20.9,35.6,1.1,52.5,49.4,3,18,18,19,13,26,27,23
Oklahoma City Thunder,2017,0,0.585,107.9,39.9,24.2,32.6,3.7,50.8,51.5,4,15,11,10,29,1,20,10
Utah Jazz,2017,0,0.585,104.1,38.3,21.5,34.2,4.4,53.2,50.9,29,13,13,13,12,24,21,16
Minnesota Timberwolves,2017,0,0.573,109.5,41.0,24.1,31.6,2.3,51.8,50.3,15,30,30,3,2,7,16,28
San Antonio Spurs,2017,0,0.573,102.7,39.0,20.9,33.9,3.0,52.5,50.8,21,28,27,20,14,6,29,29
Denver Nuggets,2017,0,0.561,110.0,40.7,22.3,33.5,1.4,51.1,51.7,13,7,8,12,18,2,15,25
Miami Heat,2017,0,0.537,103.4,38.8,19.5,34.2,0.4,50.5,50.1,23,11,9,26,22,21,22,11
Milwaukee Bucks,2017,0,0.537,106.5,39.7,23.4,31.5,-0.2,50.2,48.0,28,27,25,5,8,29,23,5
Washington Wizards,2017,0,0.524,106.6,39.9,21.8,33.1,0.4,50.9,50.4,19,21,23,14,15,13,17,6
LA Clippers,2017,0,0.512,109.0,40.3,25.5,33.7,0.2,49.7,50.4,22,22,22,4,26,10,2,12
Detroit Pistons,2017,0,0.476,103.8,39.1,19.8,33.6,-0.1,48.9,49.9,9,14,17,27,25,11,12,27
Charlotte Hornets,2017,0,0.439,108.2,39.0,27.0,35.4,-0.1,50.0,51.2,11,19,21,1,24,12,13,30
Los Angeles Lakers,2017,0,0.427,108.1,40.7,23.3,35.7,-1.3,49.1,50.5,2,20,15,17,30,4,3,7
New York Knicks,2017,0,0.354,104.5,40.7,19.0,33.6,-3.4,48.1,50.9,5,29,29,25,5,5,18,9
Brooklyn Nets,2017,0,0.341,106.6,38.2,22.6,34.8,-3.6,47.4,48.9,10,2,2,8,16,15,4,8
Chicago Bulls,2017,0,0.329,102.9,38.7,19.2,35.0,-7.0,45.3,50.0,1,12,6,28,20,17,7,21
Sacramento Kings,2017,0,0.329,98.8,38.8,16.7,31.4,-7.3,45.1,48.9,16,26,28,30,28,18,19,13
Orlando Magic,2017,0,0.305,103.4,38.8,20.5,32.8,-4.7,47.2,48.0,17,17,14,23,21,25,14,20
Atlanta Hawks,2017,0,0.293,103.4,38.2,20.2,32.8,-5.7,46.8,48.9,20,9,7,22,7,22,5,17
Dallas Mavericks,2017,0,0.293,102.3,38.1,18.7,33.1,-2.9,47.5,47.8,18,5,4,29,19,30,24,22
Memphis Grizzlies,2017,0,0.268,99.3,36.7,21.1,31.0,-6.8,46.0,49.3,30,24,24,18,6,19,10,1
Phoenix Suns,2017,0,0.256,103.9,38.5,23.9,33.9,-9.0,44.2,49.3,7,23,20,7,27,8,1,3
Milwaukee Bucks,2018,0,0.732,118.1,43.4,23.2,40.4,8.6,55.3,51.6,6,2,2,12,14,25,19,26
Toronto Raptors,2018,1,0.707,114.4,42.2,22.0,35.6,5.8,53.3,50.2,15,8,11,15,3,24,23,14
Golden State Warriors,2018,0,0.695,117.7,44.0,20.4,36.5,6.5,54.6,50.5,12,3,8,23,5,21,30,9
Denver Nuggets,2018,0,0.659,110.7,41.9,20.9,34.5,4.0,52.4,52.4,11,17,16,26,20,2,16,24
Houston Rockets,2018,0,0.646,113.9,39.2,24.4,31.9,4.8,49.8,48.1,25,1,1,3,9,14,24,6
Portland Trail Blazers,2018,0,0.646,114.7,42.3,23.3,36.2,4.2,52.1,52.6,7,18,18,5,2,3,11,19
Philadelphia 76ers,2018,0,0.622,115.2,41.5,27.5,36.9,2.6,52.9,51.7,20,19,19,2,16,11,27,11
Utah Jazz,2018,0,0.61,111.7,40.4,25.5,36.4,5.0,53.9,52.2,29,9,9,7,26,17,21,12
Boston Celtics,2018,0,0.598,112.4,42.1,19.5,34.7,4.3,53.0,49.5,8,6,7,28,4,20,29,20
Oklahoma City Thunder,2018,0,0.598,114.5,42.6,25.0,35.5,3.4,50.6,50.9,1,12,13,13,28,1,12,4
Indiana Pacers,2018,0,0.585,108.0,41.3,21.1,33.7,3.4,52.7,49.9,27,29,29,27,21,26,10,27
LA Clippers,2018,0,0.585,115.1,41.3,28.5,35.8,1.0,50.5,50.0,24,24,28,1,7,22,1,3
San Antonio Spurs,2018,0,0.585,111.7,42.3,21.0,35.5,1.6,51.6,50.1,17,26,30,20,1,27,28,30
Brooklyn Nets,2018,0,0.512,112.2,40.3,25.5,35.6,-0.1,49.2,50.1,14,5,5,6,24,9,9,8
Orlando Magic,2018,0,0.512,107.3,40.4,19.2,35.4,0.6,50.8,50.4,16,13,15,30,12,18,26,29
Detroit Pistons,2018,0,0.5,107.0,38.8,23.1,33.6,-0.3,48.2,50.9,18,10,6,19,23,5,13,5
Charlotte Hornets,2018,0,0.476,110.7,40.2,23.1,33.9,-1.3,48.6,49.5,13,11,10,9,6,19,2,28
Miami Heat,2018,0,0.476,105.7,39.6,21.7,35.1,-0.4,50.1,50.9,21,14,14,29,30,7,20,15
Sacramento Kings,2018,0,0.476,114.2,43.2,22.7,34.4,-1.2,49.5,48.7,2,15,20,21,27,10,14,10
Los Angeles Lakers,2018,0,0.451,111.8,42.6,23.3,36.4,-1.6,49.5,50.2,9,20,17,24,29,15,15,17
Minnesota Timberwolves,2018,0,0.439,112.5,41.6,24.3,33.5,-1.6,49.8,49.7,5,23,26,4,10,6,6,21
Dallas Mavericks,2018,0,0.402,108.9,38.8,25.3,35.2,-1.5,49.2,50.3,28,7,4,8,25,16,25,23
Memphis Grizzlies,2018,0,0.402,103.5,38.0,23.0,33.0,-2.4,49.0,48.4,30,27,25,16,15,29,18,7
New Orleans Pelicans,2018,0,0.402,115.4,43.7,23.4,36.2,-1.3,49.8,50.9,3,21,21,14,18,8,8,13
Washington Wizards,2018,0,0.39,114.0,42.1,23.9,32.7,-2.7,48.7,47.7,10,16,12,10,17,23,22,18
Atlanta Hawks,2018,0,0.354,113.3,41.4,23.4,34.5,-5.5,46.4,49.6,4,4,3,17,22,4,7,1
Chicago Bulls,2018,0,0.268,104.9,39.8,20.7,34.1,-8.3,45.3,48.3,22,30,27,25,11,30,3,22
Cleveland Cavaliers,2018,0,0.232,104.5,38.9,20.7,31.9,-10.0,43.6,49.6,23,22,24,22,8,12,4,25
Phoenix Suns,2018,0,0.232,107.5,40.1,22.7,31.3,-8.9,45.0,46.4,26,28,23,18,13,28,17,2
New York Knicks,2018,0,0.207,104.6,38.2,23.9,34.3,-8.9,44.2,48.6,19,25,22,11,19,13,5,16
Milwaukee Bucks,2019,0,0.767,118.7,43.3,24.7,42.2,9.4,56.2,52.4,4,3,4,14,27,24,22,24
Toronto Raptors,2019,0,0.736,112.8,40.2,23.2,35.9,6.1,53.0,49.6,23,4,6,12,6,25,5,9
Los Angeles Lakers,2019,1,0.732,113.4,42.3,24.3,35.1,5.6,53.9,51.2,20,23,22,17,28,6,30,17
LA Clippers,2019,0,0.681,116.3,41.6,26.3,37.0,6.3,53.2,51.5,14,13,16,1,8,7,18,5
Boston Celtics,2019,0,0.667,113.7,41.3,23.2,35.4,6.3,53.1,50.9,11,12,13,10,5,8,6,11
Denver Nuggets,2019,0,0.63,111.3,42.0,20.9,33.4,2.2,51.7,50.9,15,24,26,25,16,4,23,20
Indiana Pacers,2019,0,0.616,109.4,42.1,19.1,34.1,1.9,52.0,48.7,18,29,30,30,12,28,19,22
Houston Rockets,2019,0,0.611,117.8,40.8,26.1,34.5,2.7,49.4,48.0,8,1,1,2,9,20,14,7
Miami Heat,2019,0,0.603,112.0,39.5,25.2,35.9,2.7,52.5,51.2,30,6,9,5,13,29,26,18
Oklahoma City Thunder,2019,0,0.611,110.4,40.0,24.8,34.7,2.1,51.9,49.2,28,26,27,4,7,30,28,27
Utah Jazz,2019,0,0.611,111.3,40.1,22.8,35.8,2.5,51.3,51.2,29,7,10,16,14,26,20,19
Dallas Mavericks,2019,0,0.573,117.0,41.7,23.8,36.4,4.8,52.1,50.9,9,2,2,11,15,10,27,25
Philadelphia 76ers,2019,0,0.589,110.7,41.1,22.4,35.0,2.3,52.3,51.6,24,19,23,21,21,11,29,16
Brooklyn Nets,2019,0,0.486,111.8,40.4,24.1,37.3,-0.5,50.0,51.1,10,9,5,15,25,9,9,15
Portland Trail Blazers,2019,0,0.473,115.0,42.2,22.1,35.1,-1.1,48.6,49.2,3,10,15,18,3,16,15,10
Memphis Grizzlies,2019,0,0.466,112.6,42.5,21.8,36.2,-1.0,50.7,50.6,5,25,24,22,19,14,10,13
Phoenix Suns,2019,0,0.466,113.6,41.2,23.8,33.8,0.5,51.2,49.8,22,20,20,3,1,21,7,6
Orlando Magic,2019,0,0.452,107.3,39.3,22.7,34.2,-1.3,49.6,50.0,16,22,19,19,17,15,21,29
San Antonio Spurs,2019,0,0.451,114.1,42.2,23.4,35.6,-0.9,50.2,49.5,12,27,28,8,2,27,24,26
Sacramento Kings,2019,0,0.431,110.1,40.9,20.3,32.9,-1.9,47.9,49.2,19,11,12,27,18,23,25,3
New Orleans Pelicans,2019,0,0.417,115.8,42.6,23.4,35.4,-1.3,49.5,50.8,1,5,7,20,29,2,17,14
Washington Wizards,2019,0,0.347,114.4,41.5,24.6,31.9,-4.5,47.3,47.8,6,16,18,6,11,17,11,2
Charlotte Hornets,2019,0,0.354,102.9,37.3,21.6,31.8,-7.0,45.5,48.6,26,15,14,26,24,3,12,28
Chicago Bulls,2019,0,0.338,106.8,39.6,20.5,31.4,-3.1,46.6,48.1,17,14,11,28,22,12,3,8
New York Knicks,2019,0,0.318,105.8,40.0,23.5,34.5,-6.5,46.1,51.3,13,30,29,24,30,1,13,4
Atlanta Hawks,2019,0,0.299,111.8,40.6,23.4,33.4,-7.4,45.4,48.4,7,17,8,13,10,19,1,1
Detroit Pistons,2019,0,0.303,107.2,39.3,22.4,32.0,-3.5,47.3,49.3,27,18,17,23,26,22,4,23
Cleveland Cavaliers,2019,0,0.292,106.9,40.3,19.9,33.4,-7.9,45.3,51.2,25,21,21,29,20,5,2,30
Minnesota Timberwolves,2019,0,0.297,113.3,40.4,25.4,34.3,-4.0,47.2,48.8,2,8,3,7,23,13,8,12
Golden State Warriors,2019,0,0.231,106.3,38.6,23.2,32.9,-8.6,46.2,48.1,21,28,25,9,4,18,16,21
Utah Jazz,2020,0,0.722,116.4,41.3,21.5,37.6,9.0,54.2,52.9,18,1,1,11,8,3,28,23
Phoenix Suns,2020,0,0.708,115.3,43.3,18.7,34.2,5.9,53.4,50.0,16,12,15,28,2,28,30,15
Philadelphia 76ers,2020,0,0.681,113.6,41.4,25.5,35.0,5.5,53.6,51.1,24,23,26,3,20,13,18,8
Brooklyn Nets,2020,0,0.667,118.6,43.1,22.5,35.5,4.2,53.2,50.3,21,7,12,5,6,27,20,18
Denver Nuggets,2020,0,0.653,115.1,43.3,19.5,33.9,4.8,52.5,52.2,8,14,16,27,7,8,23,16
LA Clippers,2020,0,0.653,114.0,41.8,19.3,34.7,6.1,53.0,51.8,25,6,14,23,1,20,26,14
Milwaukee Bucks,2020,1,0.639,120.1,44.7,21.4,37.8,5.8,53.3,51.9,1,5,8,24,23,12,15,29
Dallas Mavericks,2020,0,0.583,112.4,41.1,21.2,34.2,2.3,51.0,49.6,22,8,6,17,15,25,29,11
Los Angeles Lakers,2020,0,0.583,109.5,40.6,23.3,34.6,2.9,51.7,51.1,27,25,24,12,28,15,24,17
Portland Trail Blazers,2020,0,0.583,116.1,41.3,21.6,33.9,1.8,49.3,49.5,4,2,2,6,3,4,21,19
Atlanta Hawks,2020,0,0.569,113.7,40.8,24.2,35.1,2.2,51.1,51.6,23,17,19,2,5,5,14,13
New York Knicks,2020,0,0.569,107.0,39.4,20.9,35.5,2.4,50.2,50.5,26,21,27,19,14,16,6,5
Miami Heat,2020,0,0.556,108.1,39.2,21.1,33.5,-0.1,50.9,49.1,30,15,11,13,12,29,27,20
Golden State Warriors,2020,0,0.542,113.7,41.3,21.1,35.1,1.1,51.0,48.0,17,3,5,15,13,30,25,2
Memphis Grizzlies,2020,0,0.528,113.3,42.8,21.3,35.3,1.2,51.1,50.7,2,24,23,20,18,2,11,22
Boston Celtics,2020,0,0.5,112.6,41.5,20.8,33.6,1.2,50.1,51.0,11,11,10,25,16,6,22,7
Indiana Pacers,2020,0,0.472,115.3,43.3,20.7,33.7,0.1,50.2,47.6,3,18,17,21,9,26,7,9
Washington Wizards,2020,0,0.472,116.6,43.2,26.2,35.5,-1.6,49.6,49.4,5,28,29,1,19,17,16,1
Charlotte Hornets,2020,0,0.458,109.5,39.9,20.9,33.2,-1.9,48.9,49.6,20,10,9,26,21,7,17,26
San Antonio Spurs,2020,0,0.458,111.1,41.9,22.0,34.6,-1.5,49.3,48.5,7,30,30,9,10,23,12,27
Chicago Bulls,2020,0,0.431,110.7,42.2,17.5,35.3,-1.1,49.9,51.9,13,16,18,30,11,18,13,21
New Orleans Pelicans,2020,0,0.431,114.6,42.5,26.1,35.7,-0.3,50.8,52.7,10,27,25,4,29,1,1,28
Sacramento Kings,2020,0,0.431,113.7,42.6,22.0,32.0,-3.8,48.1,48.2,14,19,20,22,25,21,19,12
Toronto Raptors,2020,0,0.375,111.3,39.7,21.3,32.1,-0.4,48.6,47.9,12,4,4,10,4,22,4,3
Minnesota Timberwolves,2020,0,0.319,112.1,40.7,23.1,33.0,-5.3,46.9,48.4,6,13,7,8,22,9,5,4
Cleveland Cavaliers,2020,0,0.306,103.8,38.6,22.4,32.3,-8.3,46.0,49.9,28,29,28,14,26,10,2,24
Oklahoma City Thunder,2020,0,0.306,105.0,38.8,21.3,35.7,-10.6,44.2,49.4,19,20,13,29,30,14,8,25
Orlando Magic,2020,0,0.292,104.0,38.3,21.4,35.1,-9.3,45.0,48.8,9,26,22,16,17,11,9,30
Detroit Pistons,2020,0,0.278,106.6,38.7,23.4,33.1,-4.5,47.3,49.3,29,22,21,7,24,19,3,6
Houston Rockets,2020,0,0.236,108.8,39.3,22.3,33.3,-7.4,45.1,47.4,15,9,3,18,27,24,10,10
Phoenix Suns,2021,0,0.78,114.8,43.7,19.9,35.5,7.5,54.8,50.3,6,20,26,24,7,18,27,12
Memphis Grizzlies,2021,0,0.683,115.6,43.5,23.1,35.0,5.3,53.0,52.6,1,23,23,14,28,1,1,14
Golden State Warriors,2021,1,0.646,111.0,40.5,20.3,35.7,5.5,53.6,51.0,21,3,3,26,17,19,29,4
Miami Heat,2021,0,0.646,110.0,39.6,21.4,33.9,4.5,52.9,51.0,28,6,14,12,5,20,28,6
Dallas Mavericks,2021,0,0.634,108.0,39.3,21.2,33.8,3.5,51.1,49.6,27,10,7,20,16,24,30,15
Boston Celtics,2021,0,0.622,111.8,40.7,20.9,35.5,7.4,54.7,50.9,17,8,9,15,2,11,16,26
Milwaukee Bucks,2021,0,0.622,115.5,41.8,22.9,36.5,3.2,51.6,51.2,8,4,5,8,15,15,22,28
Philadelphia 76ers,2021,0,0.622,109.9,39.4,23.8,33.8,2.8,51.7,49.0,30,21,27,1,1,30,17,19
Utah Jazz,2021,0,0.598,113.6,40.6,23.4,35.6,6.2,52.8,52.5,24,2,2,6,20,9,23,20
Denver Nuggets,2021,0,0.585,112.7,41.7,21.0,34.9,2.3,51.6,51.5,23,13,13,19,8,25,12,11
Toronto Raptors,2021,0,0.585,109.4,40.6,21.3,32.0,2.2,49.4,50.8,4,19,19,23,23,2,6,18
Chicago Bulls,2021,0,0.561,111.6,41.7,21.5,33.7,-0.5,49.6,49.5,20,28,30,9,3,29,7,22
Minnesota Timberwolves,2021,0,0.561,115.9,41.6,23.1,32.9,2.7,50.4,49.0,5,1,1,4,14,6,13,2
Brooklyn Nets,2021,0,0.537,112.9,42.0,21.7,34.1,0.9,51.2,49.9,12,24,28,10,6,14,9,7
Cleveland Cavaliers,2021,0,0.537,107.8,39.7,22.1,34.0,2.1,51.7,50.6,29,22,22,17,21,16,18,30
Atlanta Hawks,2021,0,0.524,113.9,41.5,22.3,33.9,1.6,50.9,50.1,13,11,18,3,4,17,21,24
Charlotte Hornets,2021,0,0.524,115.3,42.8,21.4,33.7,0.5,50.4,48.6,3,5,6,25,27,10,19,13
LA Clippers,2021,0,0.512,108.4,40.1,19.6,34.9,0.0,50.2,48.6,18,12,20,27,9,26,25,25
New York Knicks,2021,0,0.451,106.5,37.7,24.1,34.6,-0.4,49.1,51.2,25,9,10,5,26,4,20,8
New Orleans Pelicans,2021,0,0.439,109.3,40.2,23.2,33.2,-0.8,50.0,51.8,16,29,24,2,10,3,14,16
Washington Wizards,2021,0,0.427,108.6,40.6,21.7,34.1,-3.4,49.6,49.4,26,30,29,16,12,28,24,23
San Antonio Spurs,2021,0,0.415,113.2,43.2,20.4,34.3,0.2,51.0,49.4,2,26,25,29,25,7,10,29
Los Angeles Lakers,2021,0,0.402,112.1,41.6,23.0,34.5,-2.9,48.2,49.0,10,18,17,18,29,23,26,10
Sacramento Kings,2021,0,0.366,110.3,40.5,23.3,33.4,-5.2,47.3,48.4,15,25,21,7,18,21,15,21
