TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
San Antonio Spurs,1996,0,0.244,90.5,34.5,26.0,-8.8,44.0,49.0,20,25,25,24,6,6,20
Boston Celtics,1996,0,0.183,100.6,37.4,26.7,-7.2,43.4,48.2,2,19,6,10,9,1,8
Vancouver Grizzlies,1996,0,0.171,89.2,34.4,26.3,-11.0,43.3,46.9,17,20,29,27,16,4,21
Chicago Bulls,1997,1,0.756,96.7,37.4,29.7,7.8,56.0,52.7,7,17,19,14,3,27,25
Utah Jazz,1997,0,0.756,101.0,36.5,29.3,7.2,57.1,52.9,29,26,1,1,26,10,3
Los Angeles Lakers,1997,0,0.744,105.5,38.4,30.1,8.1,55.8,50.3,13,5,2,29,11,11,11
Seattle SuperSonics,1997,0,0.744,100.6,37.2,27.1,7.9,54.4,48.1,15,1,18,23,28,15,18
Indiana Pacers,1997,0,0.707,96.0,35.6,28.6,6.8,55.3,49.0,26,9,13,6,29,21,12
Phoenix Suns,1997,0,0.683,99.6,38.3,29.9,5.6,54.7,49.7,9,6,24,11,21,28,22
San Antonio Spurs,1997,0,0.683,92.5,35.3,32.2,4.4,55.1,52.4,28,19,20,27,22,19,24
Miami Heat,1997,0,0.671,95.0,34.8,29.5,5.2,53.5,50.8,25,3,17,16,19,22,2
Charlotte Hornets,1997,0,0.622,96.6,36.2,28.5,2.2,52.6,51.0,24,12,11,10,23,23,23
Atlanta Hawks,1997,0,0.61,95.9,35.2,29.5,4.0,53.2,51.8,23,13,3,7,9,24,26
Cleveland Cavaliers,1997,0,0.573,92.5,34.4,28.4,2.8,52.8,50.8,27,21,9,8,27,8,5
Portland Trail Blazers,1997,0,0.561,94.3,35.2,30.8,1.6,51.2,52.5,20,14,12,18,12,9,13
Minnesota Timberwolves,1997,0,0.549,101.1,38.5,29.6,0.8,51.5,49.7,4,20,7,15,14,12,9
New Jersey Nets,1997,0,0.524,99.6,37.3,26.1,1.5,49.7,50.8,2,18,4,13,1,3,7
New York Knicks,1997,0,0.524,91.6,34.9,29.7,2.7,51.7,51.2,17,10,27,2,25,29,4
Washington Wizards,1997,0,0.512,97.2,37.6,28.5,0.7,50.7,50.1,5,16,21,26,7,25,16
Houston Rockets,1997,0,0.5,98.8,35.9,28.7,-0.9,49.0,49.9,14,2,14,4,24,26,27
Orlando Magic,1997,0,0.5,90.1,33.8,26.9,-1.2,48.9,50.5,16,22,16,20,6,17,29
Detroit Pistons,1997,0,0.451,94.2,34.9,28.5,1.6,50.5,50.0,22,23,6,12,15,18,21
Boston Celtics,1997,0,0.439,95.9,36.7,24.9,-2.7,45.7,48.4,1,7,26,21,4,13,1
Milwaukee Bucks,1997,0,0.439,94.5,35.6,27.3,-2.2,48.3,50.1,21,27,8,5,18,16,8
Philadelphia 76ers,1997,0,0.378,93.3,34.6,28.0,-2.3,47.8,49.9,18,28,5,19,8,5,10
Sacramento Kings,1997,0,0.329,93.1,36.1,28.1,-5.9,45.8,48.3,11,24,25,28,10,7,19
Dallas Mavericks,1997,0,0.244,91.4,35.1,27.8,-6.3,44.6,46.6,8,8,29,9,20,20,28
Golden State Warriors,1997,0,0.232,88.3,34.7,30.2,-9.6,42.3,50.5,3,29,28,25,2,6,14
Vancouver Grizzlies,1997,0,0.232,96.6,36.7,28.2,-7.8,45.2,49.6,12,15,15,17,13,1,20
Los Angeles Clippers,1997,0,0.207,95.9,35.7,27.8,-7.7,43.7,48.1,10,4,22,22,16,14,17
Toronto Raptors,1997,0,0.195,94.9,36.2,26.2,-9.5,43.1,46.6,6,11,23,24,5,4,15
Denver Nuggets,1997,0,0.134,89.0,32.6,26.3,-13.2,40.7,48.2,19,25,10,3,17,2,6
San Antonio Spurs,1998,1,0.74,92.8,34.8,31.7,9.1,58.2,51.2,21,24,11,24,16,13,26
Utah Jazz,1998,0,0.74,93.3,33.7,30.2,7.4,59.1,51.6,27,27,1,3,24,8,14
Portland Trail Blazers,1998,0,0.7,94.8,34.9,31.4,6.6,55.6,51.9,12,11,10,9,13,14,16
Indiana Pacers,1998,0,0.66,94.7,34.6,29.0,4.3,52.6,49.5,17,4,12,1,21,18,20
Miami Heat,1998,0,0.66,89.0,32.3,30.2,5.8,56.0,50.3,28,5,15,12,27,29,23
Orlando Magic,1998,0,0.66,89.5,33.7,28.9,2.6,51.9,51.8,13,14,22,23,7,19,29
Atlanta Hawks,1998,0,0.62,86.3,30.8,30.0,3.1,52.5,52.7,23,20,3,15,9,15,27
Houston Rockets,1998,0,0.62,94.2,35.1,30.8,2.5,52.3,50.6,22,1,23,16,26,16,28
Los Angeles Lakers,1998,0,0.62,99.0,36.8,29.6,3.3,52.7,50.0,15,12,5,26,17,27,2
Detroit Pistons,1998,0,0.58,90.4,33.2,28.2,4.0,51.5,51.4,25,10,14,11,18,21,10
Milwaukee Bucks,1998,0,0.56,91.7,35.1,27.4,1.8,51.2,48.4,20,13,25,13,23,28,11
Philadelphia 76ers,1998,0,0.56,89.7,33.1,28.6,2.4,51.8,51.5,16,29,2,18,3,9,7
New York Knicks,1998,0,0.54,86.4,32.2,30.2,1.2,51.5,49.4,26,18,18,14,25,24,12
Phoenix Suns,1998,0,0.54,95.6,35.9,28.4,2.2,52.9,48.9,7,9,16,5,19,26,24
Sacramento Kings,1998,0,0.54,100.2,38.4,31.5,-0.4,49.4,49.3,2,6,19,27,6,23,25
Charlotte Hornets,1998,0,0.52,92.9,33.4,29.9,0.0,51.1,48.2,24,8,4,8,28,20,19
Minnesota Timberwolves,1998,0,0.5,92.9,36.8,27.8,0.5,49.3,50.1,1,28,24,10,2,10,6
Seattle SuperSonics,1998,0,0.5,94.9,35.1,28.4,-0.9,49.0,50.6,10,2,17,28,10,22,22
Toronto Raptors,1998,0,0.46,91.1,33.2,28.9,-1.9,48.9,51.5,14,15,7,6,5,11,13
Cleveland Cavaliers,1998,0,0.44,86.4,31.2,26.3,-1.9,49.3,47.8,29,21,6,7,29,6,4
Golden State Warriors,1998,0,0.42,88.3,34.6,31.2,-2.9,46.6,52.3,3,25,28,29,1,3,1
Boston Celtics,1998,0,0.38,93.0,36.3,29.2,-2.1,47.3,49.3,4,7,29,25,8,12,5
Dallas Mavericks,1998,0,0.38,91.6,35.0,29.6,-2.7,47.4,49.5,6,19,21,17,14,17,21
Washington Wizards,1998,0,0.36,91.2,35.4,28.1,-2.3,47.6,48.8,11,22,26,22,20,25,8
New Jersey Nets,1998,0,0.32,91.4,33.8,28.7,-4.2,46.6,49.6,5,16,13,2,4,2,15
Denver Nuggets,1998,0,0.28,93.5,33.6,27.8,-7.3,44.2,48.3,9,3,8,4,15,7,9
Chicago Bulls,1998,0,0.26,81.9,30.8,27.9,-10.4,42.0,48.2,19,23,27,21,22,5,18
Los Angeles Clippers,1998,0,0.18,90.4,34.2,25.9,-9.6,40.2,48.0,8,17,20,19,11,4,3
Vancouver Grizzlies,1998,0,0.16,88.9,32.9,27.2,-9.3,42.7,49.0,18,26,9,20,12,1,17
Los Angeles Lakers,1999,1,0.817,100.8,38.3,33.4,9.0,57.3,51.8,11,17,5,28,5,26,20
Portland Trail Blazers,1999,0,0.72,97.5,36.8,31.2,6.9,55.9,52.3,25,14,17,11,20,24,19
Indiana Pacers,1999,0,0.683,101.3,37.2,31.9,5.1,53.4,49.2,20,1,7,1,28,29,22
Utah Jazz,1999,0,0.671,96.5,36.1,29.6,4.6,55.1,51.6,27,23,3,9,22,18,6
Phoenix Suns,1999,0,0.646,98.9,37.7,31.2,5.4,54.2,50.0,14,8,23,12,14,14,10
San Antonio Spurs,1999,0,0.646,96.2,36.0,32.5,6.4,55.6,51.2,26,24,6,16,24,15,27
Miami Heat,1999,0,0.634,94.4,36.3,31.9,3.1,54.3,50.8,23,9,29,21,25,23,13
Minnesota Timberwolves,1999,0,0.61,98.5,39.3,30.1,2.5,53.1,50.7,6,28,26,7,15,27,15
New York Knicks,1999,0,0.61,92.1,35.3,30.7,1.5,50.7,49.6,28,16,24,5,29,25,9
Charlotte Hornets,1999,0,0.598,98.4,35.8,32.1,2.8,54.1,50.1,22,20,2,13,27,16,28
Philadelphia 76ers,1999,0,0.598,94.8,36.5,30.1,1.5,50.8,50.4,15,29,12,26,2,1,14
Seattle SuperSonics,1999,0,0.549,99.1,37.9,30.3,1.0,49.6,49.1,5,3,27,29,11,11,23
Toronto Raptors,1999,0,0.549,97.2,36.3,29.9,-0.1,50.0,49.9,8,11,11,10,7,12,8
Sacramento Kings,1999,0,0.537,105.0,40.0,32.1,2.9,51.3,49.3,1,4,19,14,10,19,25
Detroit Pistons,1999,0,0.512,103.5,37.1,30.0,1.4,50.6,49.5,21,10,1,6,26,21,7
Milwaukee Bucks,1999,0,0.512,101.2,38.7,28.9,0.3,49.8,49.7,12,15,16,3,16,28,5
Orlando Magic,1999,0,0.5,100.1,38.6,31.0,0.8,49.7,50.6,4,26,13,22,3,6,11
Dallas Mavericks,1999,0,0.488,101.4,39.0,29.8,-0.5,49.3,46.6,3,5,25,2,23,17,24
Boston Celtics,1999,0,0.427,99.3,37.2,29.5,-1.1,47.6,50.6,9,13,8,18,6,7,1
Denver Nuggets,1999,0,0.427,99.0,37.3,31.6,-2.3,48.3,50.4,7,7,18,24,8,9,12
Houston Rockets,1999,0,0.415,99.5,36.6,31.5,-0.8,49.0,50.8,19,2,14,23,17,13,29
Cleveland Cavaliers,1999,0,0.39,97.0,36.3,30.5,-3.5,47.5,49.6,17,18,4,15,18,3,2
New Jersey Nets,1999,0,0.378,98.0,36.3,28.2,-1.1,47.9,47.2,10,6,9,4,12,8,16
Washington Wizards,1999,0,0.354,96.6,36.7,29.7,-3.4,47.1,50.6,18,21,15,19,9,4,3
Atlanta Hawks,1999,0,0.341,94.3,36.6,31.3,-5.7,46.2,51.6,13,27,22,20,4,20,26
Vancouver Grizzlies,1999,0,0.268,93.9,35.3,28.3,-6.0,45.7,50.1,24,25,10,8,19,2,18
Golden State Warriors,1999,0,0.232,95.5,36.5,29.7,-8.4,43.1,49.9,2,19,20,27,1,5,4
Chicago Bulls,1999,0,0.207,84.8,31.3,28.3,-10.0,41.7,49.9,29,22,21,25,13,10,17
Los Angeles Clippers,1999,0,0.183,92.0,35.1,29.0,-11.9,41.1,47.4,16,12,28,17,21,22,21
San Antonio Spurs,2000,0,0.707,96.2,35.2,33.1,8.3,57.3,51.1,27,10,4,25,24,15,29
Los Angeles Lakers,2000,1,0.683,100.6,37.9,31.5,3.5,53.2,51.7,11,11,10,29,4,28,13
Philadelphia 76ers,2000,0,0.683,94.7,35.4,31.7,4.6,53.6,52.3,19,28,3,18,5,10,26
Sacramento Kings,2000,0,0.671,101.7,38.2,33.0,5.7,54.0,49.7,2,7,8,5,14,8,28
Dallas Mavericks,2000,0,0.646,100.5,37.6,31.4,4.4,52.3,48.1,10,3,13,2,27,23,8
Utah Jazz,2000,0,0.646,97.1,36.1,29.1,5.2,54.8,51.9,26,21,1,16,19,11,1
Milwaukee Bucks,2000,0,0.634,100.7,38.0,30.5,4.2,51.9,49.4,8,2,17,3,15,26,6
Phoenix Suns,2000,0,0.622,94.0,35.9,30.8,2.3,52.1,50.0,9,22,15,15,16,18,14
Miami Heat,2000,0,0.61,88.9,32.9,29.7,2.3,52.3,49.0,28,8,23,10,28,16,25
Portland Trail Blazers,2000,0,0.61,95.4,36.6,30.3,4.2,54.4,52.2,24,16,22,9,17,29,20
New York Knicks,2000,0,0.585,88.7,33.6,30.8,3.0,52.0,49.8,29,13,27,1,29,27,15
Minnesota Timberwolves,2000,0,0.573,97.3,38.4,30.1,1.6,51.8,49.8,6,25,29,4,12,25,10
Toronto Raptors,2000,0,0.573,97.6,37.2,30.8,2.3,52.2,51.5,3,12,16,17,2,12,21
Charlotte Hornets,2000,0,0.561,91.9,34.1,31.8,2.1,52.7,51.3,17,19,9,19,8,24,19
Houston Rockets,2000,0,0.549,97.2,35.9,30.8,2.4,50.9,50.2,18,5,11,14,21,20,27
Seattle SuperSonics,2000,0,0.537,97.3,36.9,29.5,0.2,49.4,49.6,13,9,20,23,13,4,22
Orlando Magic,2000,0,0.524,97.5,36.7,29.9,1.0,49.5,48.9,7,6,18,26,6,13,2
Indiana Pacers,2000,0,0.5,92.6,34.5,31.6,-0.2,51.0,49.7,23,14,14,7,22,22,7
Denver Nuggets,2000,0,0.488,96.6,36.3,31.5,-2.8,48.0,49.7,4,4,21,22,7,6,17
Boston Celtics,2000,0,0.439,94.6,33.8,28.9,-2.2,46.8,47.8,20,1,6,20,25,14,4
Detroit Pistons,2000,0,0.39,95.6,35.6,32.0,-1.8,48.0,50.5,5,15,7,24,3,21,5
Los Angeles Clippers,2000,0,0.378,92.5,35.3,31.2,-2.9,47.6,50.6,21,17,24,28,18,19,18
Cleveland Cavaliers,2000,0,0.366,92.2,35.2,29.8,-4.2,46.9,50.5,15,29,12,8,10,1,11
New Jersey Nets,2000,0,0.317,92.1,33.9,28.5,-5.4,44.6,47.7,14,18,5,11,23,2,3
Atlanta Hawks,2000,0,0.305,91.0,35.1,30.4,-5.5,45.2,50.1,12,20,28,12,9,3,16
Vancouver Grizzlies,2000,0,0.28,91.7,35.0,29.6,-6.0,46.5,48.4,16,23,19,6,26,9,23
Washington Wizards,2000,0,0.232,93.2,34.5,28.9,-6.8,45.3,50.2,22,26,2,13,11,5,9
Golden State Warriors,2000,0,0.207,92.5,35.8,29.1,-9.2,42.7,50.4,1,27,25,27,1,7,24
Chicago Bulls,2000,0,0.183,87.6,33.2,27.6,-10.0,43.2,48.0,25,24,26,21,20,17,12
Sacramento Kings,2001,0,0.744,104.6,39.8,33.0,8.1,55.2,50.2,1,12,6,16,15,22,28
Los Angeles Lakers,2001,1,0.707,101.3,38.4,31.8,7.6,54.9,50.1,8,6,12,29,13,27,8
San Antonio Spurs,2001,0,0.707,96.7,35.5,31.3,6.9,55.4,50.1,28,11,3,20,24,13,26
Dallas Mavericks,2001,0,0.695,105.2,39.0,31.3,4.3,51.7,48.7,4,2,7,1,23,25,5
New Jersey Nets,2001,0,0.634,96.2,37.1,30.7,4.3,53.7,50.3,9,16,19,24,12,11,18
Detroit Pistons,2001,0,0.61,94.3,34.7,28.9,2.3,52.3,48.1,29,5,14,13,29,29,21
Minnesota Timberwolves,2001,0,0.61,99.3,38.7,31.2,3.4,52.9,52.4,5,18,20,2,9,16,17
Boston Celtics,2001,0,0.598,96.4,34.8,31.3,2.2,50.0,48.1,10,1,10,10,26,5,12
Portland Trail Blazers,2001,0,0.598,96.6,36.6,29.8,3.3,51.8,52.2,13,10,15,11,6,17,25
Seattle SuperSonics,2001,0,0.549,97.7,38.2,28.5,3.3,52.2,49.0,12,7,27,14,17,19,19
Charlotte Hornets,2001,0,0.537,93.9,35.3,30.5,1.2,51.3,51.1,19,22,8,18,10,14,16
Orlando Magic,2001,0,0.537,100.5,37.6,29.7,1.5,49.7,47.7,6,3,16,15,20,23,22
Utah Jazz,2001,0,0.537,96.0,35.0,28.6,0.9,53.0,52.1,27,28,1,12,4,2,1
Philadelphia 76ers,2001,0,0.524,91.0,34.2,30.9,1.8,52.0,52.3,25,29,5,4,5,8,23
Indiana Pacers,2001,0,0.512,96.8,35.8,31.3,0.4,51.0,49.9,20,17,4,5,21,7,3
Toronto Raptors,2001,0,0.512,91.4,35.6,28.5,-0.6,49.6,50.3,11,19,26,22,2,21,13
Milwaukee Bucks,2001,0,0.5,97.5,37.1,31.2,-0.3,50.2,49.1,21,4,24,17,28,26,10
Los Angeles Clippers,2001,0,0.476,95.7,36.2,30.2,-0.4,49.5,51.2,14,15,11,23,7,12,24
Washington Wizards,2001,0,0.451,92.8,35.8,29.2,-1.6,48.6,50.4,15,26,17,8,11,18,14
Miami Heat,2001,0,0.439,87.2,34.2,31.0,-1.7,50.1,50.5,26,25,29,25,25,28,6
Phoenix Suns,2001,0,0.439,95.1,37.8,29.6,-0.7,48.6,49.8,3,21,28,7,8,6,11
Atlanta Hawks,2001,0,0.402,94.0,35.4,29.8,-4.4,46.5,49.1,17,13,13,9,19,4,20
New York Knicks,2001,0,0.366,91.6,34.4,30.0,-4.2,46.6,48.9,23,9,21,3,27,24,9
Cleveland Cavaliers,2001,0,0.354,95.3,36.0,30.3,-3.6,48.2,50.5,18,20,9,6,18,9,15
Houston Rockets,2001,0,0.341,92.3,34.6,29.4,-5.4,45.8,49.7,16,8,22,21,14,15,29
Denver Nuggets,2001,0,0.329,92.2,35.5,28.2,-6.3,44.2,49.7,7,14,25,19,3,1,4
Memphis Grizzlies,2001,0,0.28,89.9,34.8,29.4,-8.0,45.6,48.3,22,23,23,28,16,10,27
Chicago Bulls,2001,0,0.256,89.5,34.3,28.8,-9.1,43.6,48.7,24,27,18,26,22,20,7
Golden State Warriors,2001,0,0.256,97.7,36.6,30.4,-5.6,45.6,51.6,2,24,2,27,1,3,2
Dallas Mavericks,2002,0,0.732,103.0,38.5,31.0,8.3,54.6,47.8,2,2,15,1,24,27,21
San Antonio Spurs,2002,1,0.732,95.8,35.5,31.2,5.8,54.9,50.8,27,11,9,26,20,12,25
Sacramento Kings,2002,0,0.72,101.7,39.5,33.5,6.6,55.1,49.3,1,7,24,18,25,24,26
Minnesota Timberwolves,2002,0,0.622,98.1,38.7,31.9,2.2,52.9,50.8,5,24,23,10,16,19,23
Detroit Pistons,2002,0,0.61,91.4,32.9,29.8,4.2,52.5,49.9,28,6,12,9,26,25,20
Los Angeles Lakers,2002,0,0.61,100.4,37.7,31.1,2.2,52.0,50.9,4,8,13,25,5,28,5
Portland Trail Blazers,2002,0,0.61,95.2,36.4,29.0,2.7,51.5,51.5,22,19,19,19,13,20,28
New Jersey Nets,2002,0,0.598,95.4,35.4,30.8,5.4,54.4,51.0,18,22,5,15,14,8,16
Indiana Pacers,2002,0,0.585,96.8,35.5,32.0,3.5,53.8,50.9,16,20,4,13,12,3,10
Philadelphia 76ers,2002,0,0.585,96.8,36.3,29.5,2.6,51.6,50.9,15,27,2,8,7,2,11
New Orleans Hornets,2002,0,0.573,93.9,35.5,30.2,2.4,51.7,51.8,12,15,18,11,4,9,17
Utah Jazz,2002,0,0.573,94.7,35.3,29.0,2.6,55.1,51.9,29,29,3,20,8,10,8
Boston Celtics,2002,0,0.537,92.7,32.9,30.1,-0.6,48.0,47.4,21,1,17,22,28,22,19
Phoenix Suns,2002,0,0.537,95.5,36.6,29.8,1.3,49.8,49.6,6,17,21,23,6,6,12
Houston Rockets,2002,0,0.524,93.8,34.6,31.3,1.5,51.1,51.8,24,12,11,12,9,21,29
Milwaukee Bucks,2002,0,0.512,99.5,37.1,28.9,0.3,49.5,47.7,13,4,16,7,27,26,9
Orlando Magic,2002,0,0.512,98.5,35.9,29.2,0.0,48.2,48.5,7,5,7,6,17,14,3
Seattle SuperSonics,2002,0,0.488,92.1,35.2,29.1,-0.2,50.2,49.7,17,10,26,21,18,15,22
Golden State Warriors,2002,0,0.463,102.4,37.3,31.0,-1.3,49.2,51.8,3,13,1,5,1,4,13
New York Knicks,2002,0,0.451,95.9,36.2,29.0,-1.3,47.4,48.0,10,3,27,2,29,29,4
Washington Wizards,2002,0,0.451,91.5,34.3,29.2,-1.1,49.8,49.6,26,26,8,4,23,23,27
Atlanta Hawks,2002,0,0.427,94.1,34.9,31.2,-3.8,48.3,49.9,25,16,10,3,22,16,15
Chicago Bulls,2002,0,0.366,95.0,36.5,31.0,-5.1,45.7,49.2,11,21,20,27,15,17,2
Memphis Grizzlies,2002,0,0.341,97.5,37.2,30.1,-3.5,48.2,48.2,9,9,22,24,21,11,24
Los Angeles Clippers,2002,0,0.329,93.8,34.6,30.0,-4.0,47.0,49.6,23,18,6,16,11,13,14
Miami Heat,2002,0,0.305,85.6,32.8,30.0,-5.8,45.6,50.1,20,23,28,14,19,7,7
Toronto Raptors,2002,0,0.293,90.9,34.7,28.7,-6.3,44.7,49.1,14,14,25,28,10,18,18
Cleveland Cavaliers,2002,0,0.207,91.4,34.8,31.0,-9.9,43.1,51.3,8,25,14,17,2,5,6
Denver Nuggets,2002,0,0.207,84.2,32.8,28.8,-8.9,42.5,51.1,19,28,29,29,3,1,1
Indiana Pacers,2003,0,0.744,91.4,33.6,29.9,6.3,53.9,51.1,25,9,11,11,17,2,21
Minnesota Timberwolves,2003,0,0.707,94.5,37.0,32.3,5.7,55.4,50.7,14,25,25,5,25,29,16
San Antonio Spurs,2003,0,0.695,91.5,34.7,32.5,7.9,56.6,51.6,20,17,20,29,11,24,24
Los Angeles Lakers,2003,0,0.683,98.2,36.9,30.9,4.1,53.8,50.6,7,22,5,28,13,28,17
Sacramento Kings,2003,0,0.671,102.8,37.8,30.4,5.4,54.4,48.8,6,2,6,2,24,16,28
Detroit Pistons,2003,1,0.659,90.1,33.5,30.4,6.5,55.8,51.2,26,23,9,13,12,17,25
Dallas Mavericks,2003,0,0.634,105.2,40.5,31.0,4.5,52.7,50.7,1,6,15,1,1,21,27
Memphis Grizzlies,2003,0,0.61,96.7,36.1,29.0,2.6,52.2,48.9,9,10,10,24,8,4,3
New Jersey Nets,2003,0,0.573,90.3,34.3,30.2,2.6,53.3,50.1,23,20,21,14,26,25,18
Houston Rockets,2003,0,0.549,89.8,33.4,32.3,1.9,51.3,51.6,28,5,24,8,28,26,12
Denver Nuggets,2003,0,0.524,97.2,36.5,29.1,1.0,50.5,49.8,2,26,3,9,7,3,10
Miami Heat,2003,0,0.512,90.3,33.3,30.0,0.3,49.6,50.4,21,7,18,12,20,8,8
Utah Jazz,2003,0,0.512,88.7,32.8,27.7,-1.3,49.3,52.9,29,28,4,20,5,1,1
Milwaukee Bucks,2003,0,0.5,98.0,36.2,30.5,1.1,51.0,49.9,10,19,2,7,18,18,26
New Orleans Hornets,2003,0,0.5,91.8,33.8,29.5,0.1,49.1,50.2,11,4,19,17,6,13,19
Portland Trail Blazers,2003,0,0.5,90.7,35.3,29.0,-1.5,48.8,50.7,19,21,28,23,10,20,29
New York Knicks,2003,0,0.476,92.0,35.1,31.0,-1.6,48.8,50.8,17,18,23,3,19,22,4
Golden State Warriors,2003,0,0.451,93.3,35.1,30.9,-1.1,49.1,50.3,18,12,17,25,14,14,23
Seattle SuperSonics,2003,0,0.451,97.1,35.8,28.3,-0.8,49.1,47.9,12,1,26,10,23,23,11
Boston Celtics,2003,0,0.439,95.3,34.7,29.8,-1.5,49.0,47.3,22,3,8,18,27,19,6
Cleveland Cavaliers,2003,0,0.427,92.9,35.6,31.9,-2.6,49.1,51.4,4,29,13,15,3,10,13
Philadelphia 76ers,2003,0,0.402,88.0,32.7,29.4,-2.6,48.4,49.8,27,24,14,16,21,5,22
Toronto Raptors,2003,0,0.402,85.4,32.4,29.5,-3.4,47.6,47.1,24,8,29,19,29,27,14
Phoenix Suns,2003,0,0.354,94.2,36.1,29.3,-3.8,46.6,47.9,8,15,22,21,22,11,5
Atlanta Hawks,2003,0,0.341,92.8,34.5,30.6,-4.8,46.6,50.0,16,16,12,6,16,15,7
Los Angeles Clippers,2003,0,0.341,94.8,34.4,29.5,-4.7,46.4,51.7,13,27,1,4,2,12,9
Washington Wizards,2003,0,0.305,91.8,33.6,29.2,-5.7,44.1,49.6,15,11,7,27,4,6,20
Chicago Bulls,2003,0,0.28,89.7,34.1,30.7,-6.5,44.6,49.1,5,13,27,26,9,9,2
Orlando Magic,2003,0,0.256,94.0,35.4,28.7,-7.4,43.4,48.1,3,14,16,22,15,7,15
Phoenix Suns,2004,0,0.756,110.4,40.9,32.3,7.0,54.6,49.0,2,1,19,22,18,27,30
Miami Heat,2004,0,0.72,101.5,37.8,32.2,6.7,55.6,50.8,26,14,13,30,25,30,20
San Antonio Spurs,2004,1,0.72,96.2,35.6,30.4,8.3,56.5,51.0,21,11,22,26,15,8,26
Dallas Mavericks,2004,0,0.707,102.5,37.3,30.9,5.9,53.7,50.0,7,15,1,4,14,14,18
Detroit Pistons,2004,0,0.659,93.3,34.8,30.6,4.3,54.2,51.8,22,22,16,23,6,22,29
Seattle SuperSonics,2004,0,0.634,98.9,35.1,28.2,2.3,50.4,51.7,20,2,11,3,8,18,6
Houston Rockets,2004,0,0.622,95.1,34.7,31.7,4.3,52.7,51.2,23,6,21,7,27,28,21
Sacramento Kings,2004,0,0.61,103.7,39.1,29.9,2.3,52.2,49.1,3,9,18,6,10,23,28
Denver Nuggets,2004,0,0.598,99.5,37.0,30.2,2.2,53.1,49.7,14,24,6,15,19,4,13
Chicago Bulls,2004,0,0.573,94.5,34.7,31.6,1.4,49.8,50.6,16,12,23,21,13,7,2
